"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Bernard Tomic",,"AUS","Igor Andreev",,"RUS","46 57 63 64 61","Round of 64",2011,"Australia","Russia","qualifier",
"Feliciano Lopez",,"ESP","Rainer Schuettler",,"GER","763 673 62 62","Round of 64",2011,"Spain","Germany",,
"Ivan Ljubicic",,"CRO","Sergiy Stakhovsky",,"UKR","64 64 62","Round of 64",2011,"Croatia","Ukraine",,
"Lukasz Kubot",,"POL","Ivo Karlovic",,"CRO","762 63 63","Round of 64",2011,"Poland","Croatia","qualifier",
"Fernando Gonzalez",,"CHI","Rik De Voest",,"RSA","64 64 64","Round of 64",2011,"Chile","South Africa",,"qualifier"
"Marcos Baghdatis",32,"CYP","Andreas Seppi",,"ITA","64 764 75","Round of 64",2011,"Cyprus","Italy",,
"Gilles Muller",,"LUX","Milos Raonic",31,"CAN","23 (RET)","Round of 64",2011,"Luxembourg","Canada","wildcard",
"David Nalbandian",28,"ARG","Andreas Haider-Maurer",,"AUT","63 36 64 64","Round of 64",2011,"Argentina","Austria",,
"Karol Beck",,"SVK","Guillermo Garcia-Lopez",26,"ESP","765 64 36 64","Round of 64",2011,"Slovakia","Spain","qualifier",
"Alex Bogomolov Jr.",,"RUS","Juan Ignacio Chela",25,"ARG","60 63 64","Round of 64",2011,"Russia","Argentina",,
"Juan Martin Del Potro",24,"ARG","Olivier Rochus",,"BEL","677 61 60 64","Round of 64",2011,"Argentina","Belgium",,
"Robin Haase",,"NED","Fernando Verdasco",21,"ESP","63 64 46 62","Round of 64",2011,"Netherlands","Spain",,
"Xavier Malisse",,"BEL","Florian Mayer",20,"GER","16 63 62 62","Round of 64",2011,"Belgium","Germany",,
"Michael Llodra",19,"FRA","Ricardo Mello",,"BRA","62 46 62 63","Round of 64",2011,"France","Brazil",,
"Mikhail Youzhny",18,"RUS","Somdev Devvarman",,"IND","62 64 64","Round of 64",2011,"Russia","India",,
"Richard Gasquet",17,"FRA","Igor Kunitsyn",,"RUS","61 64 64","Round of 64",2011,"France","Russia",,
"Nicolas Almagro",16,"ESP","John Isner",,"USA","763 765 675 63","Round of 64",2011,"Spain","United States",,
"Gilles Simon",15,"FRA","Dudi Sela",,"ISR","763 64 75","Round of 64",2011,"France","Israel",,"wildcard"
"Simone Bolelli",,"ITA","Stan Wawrinka",14,"SUI","765 63 764","Round of 64",2011,"Italy","Switzerland","lucky loser",
"Yen-Hsun Lu",,"TPE","Viktor Troicki",13,"SRB","765 64 64","Round of 64",2011,"Chinese Taipei","Serbia",,
"Jo-Wilfried Tsonga",12,"FRA","Grigor Dimitrov",,"BUL","674 64 64 768","Round of 64",2011,"France","Bulgaria",,
"Jurgen Melzer",11,"AUT","Dmitry Tursunov",,"RUS","63 26 765 761","Round of 64",2011,"Austria","Russia",,
"Mardy Fish",10,"USA","Denis Istomin",,"UZB","766 64 64","Round of 64",2011,"United States","Uzbekistan",,
"Gael Monfils",9,"FRA","Grega Zemlja",,"SLO","46 63 63 767","Round of 64",2011,"France","Slovenia",,"lucky loser"
"Andy Roddick",8,"USA","Victor Hanescu",,"ROU","64 63 64","Round of 64",2011,"United States","Romania",,
"David Ferrer",7,"ESP","Ryan Harrison",,"USA","676 61 46 63 62","Round of 64",2011,"Spain","United States",,"lucky loser"
"Tomas Berdych",6,"CZE","Julien Benneteau",,"FRA","61 64 62","Round of 64",2011,"Czech Republic","France",,
"Robin Soderling",5,"SWE","Lleyton Hewitt",,"AUS","675 36 75 64 64","Round of 64",2011,"Sweden","Australia",,
"Andy Murray",4,"GBR","Tobias Kamke",,"GER","63 63 75","Round of 64",2011,"Great Britain","Germany",,
"Roger Federer",3,"SUI","Adrian Mannarino",,"FRA","62 63 62","Round of 64",2011,"Switzerland","France",,
"Novak Djokovic",2,"SRB","Kevin Anderson",,"RSA","63 64 62","Round of 64",2011,"Serbia","South Africa",,
"Rafael Nadal",1,"ESP","Ryan Sweeting",,"USA","63 62 64","Round of 64",2011,"Spain","United States",,
"Michael Llodra",19,"FRA","Yen-Hsun Lu",,"TPE","63 63 61","Round of 32",2011,"France","Chinese Taipei",,
"Richard Gasquet",17,"FRA","Simone Bolelli",,"ITA","63 62 64","Round of 32",2011,"France","Italy",,"lucky loser"
"Mikhail Youzhny",18,"RUS","Nicolas Almagro",16,"ESP","46 63 763 63","Round of 32",2011,"Russia","Spain",,
"Juan Martin Del Potro",24,"ARG","Gilles Simon",15,"FRA","768 765 75","Round of 32",2011,"Argentina","France",,
"Jo-Wilfried Tsonga",12,"FRA","Fernando Gonzalez",,"CHI","63 64 63","Round of 32",2011,"France","Chile",,
"Xavier Malisse",,"BEL","Jurgen Melzer",11,"AUT","765 63 60","Round of 32",2011,"Belgium","Austria",,
"Mardy Fish",10,"USA","Robin Haase",,"NED","63 675 62 11 (RET)","Round of 32",2011,"United States","Netherlands",,
"Lukasz Kubot",,"POL","Gael Monfils",9,"FRA","63 36 63 63","Round of 32",2011,"Poland","France","qualifier",
"Feliciano Lopez",,"ESP","Andy Roddick",8,"USA","762 762 64","Round of 32",2011,"Spain","United States",,
"David Ferrer",7,"ESP","Karol Beck",,"SVK","64 63 63","Round of 32",2011,"Spain","Slovakia",,"qualifier"
"Tomas Berdych",6,"CZE","Alex Bogomolov Jr.",,"RUS","62 64 63","Round of 32",2011,"Czech Republic","Russia",,
"Bernard Tomic",,"AUS","Robin Soderling",5,"SWE","61 64 75","Round of 32",2011,"Australia","Sweden","qualifier",
"Andy Murray",4,"GBR","Ivan Ljubicic",,"CRO","64 46 61 764","Round of 32",2011,"Great Britain","Croatia",,
"Roger Federer",3,"SUI","David Nalbandian",28,"ARG","64 62 64","Round of 32",2011,"Switzerland","Argentina",,
"Novak Djokovic",2,"SRB","Marcos Baghdatis",32,"CYP","64 46 63 64","Round of 32",2011,"Serbia","Cyprus",,
"Rafael Nadal",1,"ESP","Gilles Muller",,"LUX","766 765 60","Round of 32",2011,"Spain","Luxembourg",,"wildcard"
"Bernard Tomic",,"AUS","Xavier Malisse",,"BEL","61 75 64","Round of 16",2011,"Australia","Belgium","qualifier",
"Feliciano Lopez",,"ESP","Lukasz Kubot",,"POL","36 675 767 75 75","Round of 16",2011,"Spain","Poland",,"qualifier"
"Jo-Wilfried Tsonga",12,"FRA","David Ferrer",7,"ESP","63 64 761","Round of 16",2011,"France","Spain",,
"Mardy Fish",10,"USA","Tomas Berdych",6,"CZE","765 64 64","Round of 16",2011,"United States","Czech Republic",,
"Andy Murray",4,"GBR","Richard Gasquet",17,"FRA","763 63 62","Round of 16",2011,"Great Britain","France",,
"Roger Federer",3,"SUI","Mikhail Youzhny",18,"RUS","675 63 63 63","Round of 16",2011,"Switzerland","Russia",,
"Novak Djokovic",2,"SRB","Michael Llodra",19,"FRA","63 63 63","Round of 16",2011,"Serbia","France",,
"Rafael Nadal",1,"ESP","Juan Martin Del Potro",24,"ARG","766 36 764 64","Round of 16",2011,"Spain","Argentina",,
"Andy Murray",4,"GBR","Feliciano Lopez",,"ESP","63 64 64","Quarter-Finals",2011,"Great Britain","Spain",,
"Jo-Wilfried Tsonga",12,"FRA","Roger Federer",3,"SUI","36 673 64 64 64","Quarter-Finals",2011,"France","Switzerland",,
"Novak Djokovic",2,"SRB","Bernard Tomic",,"AUS","62 36 63 75","Quarter-Finals",2011,"Serbia","Australia",,"qualifier"
"Rafael Nadal",1,"ESP","Mardy Fish",10,"USA","63 63 57 64","Quarter-Finals",2011,"Spain","United States",,
"Novak Djokovic",2,"SRB","Jo-Wilfried Tsonga",12,"FRA","764 62 679 63","Semi-Finals",2011,"Serbia","France",,
"Rafael Nadal",1,"ESP","Andy Murray",4,"GBR","57 62 62 64","Semi-Finals",2011,"Spain","Great Britain",,
"Novak Djokovic",2,"SRB","Rafael Nadal",1,"ESP","64 61 16 63","Finals",2011,"Serbia","Spain",,
"Viktor Troicki",,"SRB","Igor Kunitsyn",,"RUS","63 64 61","Round of 128",2010,"Serbia","Russia",,
"Florent Serra",,"FRA","Simon Greul",,"GER","762 63 62","Round of 128",2010,"France","Germany",,
"Rainer Schuettler",,"GER","Dmitry Tursunov",,"RUS","62 62 63","Round of 128",2010,"Germany","Russia",,
"Michael Russell",,"USA","Pere Riba",,"ESP","63 761 26 761","Round of 128",2010,"United States","Spain",,
"Julian Reister",,"GER","Rik De Voest",,"RSA","64 75 36 62","Round of 128",2010,"Germany","South Africa","lucky loser","qualifier"
"Jarkko Nieminen",,"FIN","Stefan Koubek",,"AUT","64 763 57 62","Round of 128",2010,"Finland","Austria",,"lucky loser"
"Paul-Henri Mathieu",,"FRA","Marc Gicquel",,"FRA","61 75 36 61","Round of 128",2010,"France","France",,
"Illya Marchenko",,"UKR","Michael Berrer",,"GER","63 75 (RET)","Round of 128",2010,"Ukraine","Germany",,
"Yen-Hsun Lu",,"TPE","Horacio Zeballos",,"ARG","75 64 63","Round of 128",2010,"Chinese Taipei","Argentina",,
"Michael Llodra",,"FRA","Jesse Witten",,"USA","64 64 675 63","Round of 128",2010,"France","United States",,"qualifier"
"Lukasz Kubot",,"POL","Blaz Kavcic",,"SLO","46 62 62 63","Round of 128",2010,"Poland","Slovenia",,
"Evgeny Korolev",,"KAZ","Eduardo Schwank",,"ARG","61 768 46 62","Round of 128",2010,"Kazakhstan","Argentina",,
"Tobias Kamke",,"GER","Guillermo Garcia-Lopez",,"ESP","57 26 75 64 64","Round of 128",2010,"Germany","Spain","qualifier",
"Marsel Ilhan",,"TUR","Marcos Daniel",,"BRA","674 46 62 63 61","Round of 128",2010,"Turkey","Brazil","qualifier",
"Robin Haase",,"NED","James Blake",,"USA","62 64 64","Round of 128",2010,"Netherlands","United States",,
"Marcel Granollers",,"ESP","Frederico Gil",,"POR","63 60 64","Round of 128",2010,"Spain","Portugal",,
"Teymuraz Gabashvili",,"RUS","Ramon Delgado",,"PAR","26 64 64 62","Round of 128",2010,"Russia","Paraguay","wildcard","lucky loser"
"Mardy Fish",,"USA","Bernard Tomic",,"AUS","63 768 62","Round of 128",2010,"United States","Australia",,"qualifier"
"Martin Fischer",,"AUT","Go Soeda",,"JPN","64 63 61","Round of 128",2010,"Austria","Japan","qualifier","lucky loser"
"Brendan Evans",,"USA","Jesse Huta Galung",,"NED","63 7612 63","Round of 128",2010,"United States","Netherlands","qualifier","qualifier"
"Alexandr Dolgopolov",,"UKR","Marco Chiudinelli",,"SUI","64 63 63","Round of 128",2010,"Ukraine","Switzerland",,
"Ivan Dodig",,"CRO","Oscar Hernandez",,"ESP","61 63 63","Round of 128",2010,"Croatia","Spain","qualifier",
"Taylor Dent",,"USA","Juan Ignacio Chela",,"ARG","63 672 763 75","Round of 128",2010,"United States","Argentina","qualifier",
"Thiemo de Bakker",,"NED","Santiago Giraldo",,"COL","674 64 63 57 1614","Round of 128",2010,"Netherlands","Colombia",,
"Arnaud Clement",,"FRA","Janko Tipsarevic",,"SRB","63 36 64 75","Round of 128",2010,"France","Serbia",,
"Jeremy Chardy",,"FRA","Daniel Gimeno-Traver",,"ESP","63 63 61","Round of 128",2010,"France","Spain",,
"Daniel Brands",,"GER","Igor Andreev",,"RUS","765 764 75","Round of 128",2010,"Germany","Russia",,
"Ilija Bozoljac",,"SRB","Nicolas Massu",,"CHI","763 36 63 767","Round of 128",2010,"Serbia","Chile","qualifier",
"Ricardas Berankis",,"LTU","Carsten Ball",,"AUS","62 60 36 765","Round of 128",2010,"Lithuania","Australia","qualifier","qualifier"
"Benjamin Becker",,"GER","Ryan Sweeting",,"USA","57 62 62 64","Round of 128",2010,"Germany","United States",,"lucky loser"
"Andreas Beck",,"GER","Jamie Baker",,"GBR","764 63 64","Round of 128",2010,"Germany","Great Britain",,"wildcard"
"Karol Beck",,"SVK","Santiago Ventura",,"ESP","63 61 46 62","Round of 128",2010,"Slovakia","Spain",,"lucky loser"
"Philipp Petzschner",33,"GER","Stephane Robert",,"FRA","64 766 46 26 64","Round of 128",2010,"Germany","France",,
"Julien Benneteau",32,"FRA","Kristof Vliegen",,"BEL","26 676 61 62 75","Round of 128",2010,"France","Belgium",,
"Victor Hanescu",31,"ROU","Andrey Kuznetsov",,"RUS","674 763 63 16 75","Round of 128",2010,"Romania","Russia",,"wildcard"
"Peter Luczak",,"AUS","Tommy Robredo",30,"ESP","26 763 62 75","Round of 128",2010,"Australia","Spain",,
"Philipp Kohlschreiber",29,"GER","Potito Starace",,"ITA","63 36 63 60","Round of 128",2010,"Germany","Italy",,
"Albert Montanes",28,"ESP","Paolo Lorenzi",,"ITA","63 765 62","Round of 128",2010,"Spain","Italy",,
"Gilles Simon",26,"FRA","Guillermo Alcaide",,"ESP","63 64 76","Round of 128",2010,"France","Spain",,"qualifier"
"Thomaz Bellucci",25,"BRA","Ricardo Mello",,"BRA","64 64 64","Round of 128",2010,"Brazil","Brazil",,
"Lukas Lacko",,"SVK","Marcos Baghdatis",24,"CYP","63 26 63 61","Round of 128",2010,"Slovakia","Cyprus",,
"John Isner",23,"USA","Nicolas Mahut",,"FRA","64 36 677 763 7068","Round of 128",2010,"United States","France",,"qualifier"
"Feliciano Lopez",22,"ESP","Jesse Levine",,"CAN","762 36 62 63","Round of 128",2010,"Spain","Canada",,"lucky loser"
"Gael Monfils",21,"FRA","Leonardo Mayer",,"ARG","61 769 62","Round of 128",2010,"France","Argentina",,
"Denis Istomin",,"UZB","Stan Wawrinka",20,"SUI","675 61 26 764 63","Round of 128",2010,"Uzbekistan","Switzerland",,
"Andreas Seppi",,"ITA","Nicolas Almagro",19,"ESP","764 767 62","Round of 128",2010,"Italy","Spain",,
"Sam Querrey",18,"USA","Sergiy Stakhovsky",,"UKR","764 63 21 (RET)","Round of 128",2010,"United States","Ukraine",,
"Michal Przysiezny",,"POL","Ivan Ljubicic",17,"CRO","75 765 63","Round of 128",2010,"Poland","Croatia",,
"Jurgen Melzer",16,"AUT","Dustin Brown",,"GER","63 46 62 63","Round of 128",2010,"Austria","Germany",,
"Lleyton Hewitt",15,"AUS","Maximo Gonzalez",,"ARG","57 60 62 62","Round of 128",2010,"Australia","Argentina",,
"Xavier Malisse",,"BEL","Juan Carlos Ferrero",14,"ESP","62 676 765 46 61","Round of 128",2010,"Belgium","Spain",,
"Mikhail Youzhny",13,"RUS","Dudi Sela",,"ISR","63 64 46 762","Round of 128",2010,"Russia","Israel",,
"Tomas Berdych",12,"CZE","Andrey Golubev",,"KAZ","765 62 62","Round of 128",2010,"Czech Republic","Kazakhstan",,
"Florian Mayer",,"GER","Marin Cilic",11,"CRO","62 64 761","Round of 128",2010,"Germany","Croatia",,
"Jo-Wilfried Tsonga",10,"FRA","Robert Kendrick",,"USA","762 766 36 64","Round of 128",2010,"France","United States",,"qualifier"
"David Ferrer",9,"ESP","Nicolas Kiefer",,"GER","64 62 63","Round of 128",2010,"Spain","Germany",,"wildcard"
"Fabio Fognini",,"ITA","Fernando Verdasco",8,"ESP","769 62 676 64","Round of 128",2010,"Italy","Spain",,
"Nikolay Davydenko",7,"RUS","Kevin Anderson",,"RSA","36 673 763 75 97","Round of 128",2010,"Russia","South Africa",,
"Robin Soderling",6,"SWE","Robby Ginepri",,"USA","62 62 63","Round of 128",2010,"Sweden","United States",,
"Andy Roddick",5,"USA","Rajeev Ram",,"USA","63 62 62","Round of 128",2010,"United States","United States",,
"Andy Murray",4,"GBR","Jan Hajek",,"CZE","75 61 62","Round of 128",2010,"Great Britain","Czech Republic",,
"Novak Djokovic",3,"SRB","Olivier Rochus",,"BEL","46 62 36 64 62","Round of 128",2010,"Serbia","Belgium",,
"Rafael Nadal",2,"ESP","Kei Nishikori",,"JPN","62 64 64","Round of 128",2010,"Spain","Japan",,"wildcard"
"Roger Federer",1,"SUI","Alejandro Falla",,"COL","57 46 64 761 60","Round of 128",2010,"Switzerland","Colombia",,
"Florian Mayer",,"GER","Mardy Fish",,"USA","672 63 64 64","Round of 64",2010,"Germany","United States",,
"Xavier Malisse",,"BEL","Julian Reister",,"GER","677 64 61 64","Round of 64",2010,"Belgium","Germany",,"lucky loser"
"Yen-Hsun Lu",,"TPE","Michal Przysiezny",,"POL","64 767 63","Round of 64",2010,"Chinese Taipei","Poland",,
"Tobias Kamke",,"GER","Andreas Seppi",,"ITA","36 62 63 64","Round of 64",2010,"Germany","Italy","qualifier",
"Denis Istomin",,"UZB","Rainer Schuettler",,"GER","63 765 46 46 61","Round of 64",2010,"Uzbekistan","Germany",,
"Fabio Fognini",,"ITA","Michael Russell",,"USA","36 57 75 766 63","Round of 64",2010,"Italy","United States",,
"Arnaud Clement",,"FRA","Peter Luczak",,"AUS","674 63 63 64","Round of 64",2010,"France","Australia",,
"Jeremy Chardy",,"FRA","Lukas Lacko",,"SVK","63 764 46 675 86","Round of 64",2010,"France","Slovakia",,
"Philipp Petzschner",33,"GER","Lukasz Kubot",,"POL","64 36 46 63 62","Round of 64",2010,"Germany","Poland",,
"Julien Benneteau",32,"FRA","Andreas Beck",,"GER","36 62 46 765 63","Round of 64",2010,"France","Germany",,
"Victor Hanescu",31,"ROU","Marsel Ilhan",,"TUR","64 64 36 63","Round of 64",2010,"Romania","Turkey",,"qualifier"
"Philipp Kohlschreiber",29,"GER","Teymuraz Gabashvili",,"RUS","766 57 26 765 97","Round of 64",2010,"Germany","Russia",,"wildcard"
"Albert Montanes",28,"ESP","Brendan Evans",,"USA","36 63 675 61 64","Round of 64",2010,"Spain","United States",,"qualifier"
"Gilles Simon",26,"FRA","Illya Marchenko",,"UKR","(W/O)","Round of 64",2010,"France","Ukraine",,
"Thomaz Bellucci",25,"BRA","Martin Fischer",,"AUT","6711 764 761 62","Round of 64",2010,"Brazil","Austria",,"qualifier"
"Thiemo de Bakker",,"NED","John Isner",23,"USA","60 63 62","Round of 64",2010,"Netherlands","United States",,
"Feliciano Lopez",22,"ESP","Ricardas Berankis",,"LTU","75 46 63 64","Round of 64",2010,"Spain","Lithuania",,"qualifier"
"Gael Monfils",21,"FRA","Karol Beck",,"SVK","64 64 674 64","Round of 64",2010,"France","Slovakia",,
"Sam Querrey",18,"USA","Ivan Dodig",,"CRO","62 57 63 7610","Round of 64",2010,"United States","Croatia",,"qualifier"
"Jurgen Melzer",16,"AUT","Viktor Troicki",,"SRB","675 46 63 766 63","Round of 64",2010,"Austria","Serbia",,
"Lleyton Hewitt",15,"AUS","Evgeny Korolev",,"KAZ","64 64 30 (RET)","Round of 64",2010,"Australia","Kazakhstan",,
"Paul-Henri Mathieu",,"FRA","Mikhail Youzhny",13,"RUS","64 26 26 63 64","Round of 64",2010,"France","Russia",,
"Tomas Berdych",12,"CZE","Benjamin Becker",,"GER","75 63 64","Round of 64",2010,"Czech Republic","Germany",,
"Jo-Wilfried Tsonga",10,"FRA","Alexandr Dolgopolov",,"UKR","64 64 675 57 108","Round of 64",2010,"France","Ukraine",,
"David Ferrer",9,"ESP","Florent Serra",,"FRA","64 75 676 63","Round of 64",2010,"Spain","France",,
"Daniel Brands",,"GER","Nikolay Davydenko",7,"RUS","16 765 768 61","Round of 64",2010,"Germany","Russia",,
"Robin Soderling",6,"SWE","Marcel Granollers",,"ESP","75 61 64","Round of 64",2010,"Sweden","Spain",,
"Andy Roddick",5,"USA","Michael Llodra",,"FRA","46 64 61 762","Round of 64",2010,"United States","France",,
"Andy Murray",4,"GBR","Jarkko Nieminen",,"FIN","63 64 62","Round of 64",2010,"Great Britain","Finland",,
"Novak Djokovic",3,"SRB","Taylor Dent",,"USA","765 61 64","Round of 64",2010,"Serbia","United States",,"qualifier"
"Rafael Nadal",2,"ESP","Robin Haase",,"NED","57 62 36 60 63","Round of 64",2010,"Spain","Netherlands",,
"Roger Federer",1,"SUI","Ilija Bozoljac",,"SRB","63 674 64 765","Round of 64",2010,"Switzerland","Serbia",,"qualifier"
"Paul-Henri Mathieu",,"FRA","Thiemo de Bakker",,"NED","765 766 678 64","Round of 32",2010,"France","Netherlands",,
"Yen-Hsun Lu",,"TPE","Florian Mayer",,"GER","64 64 21 (RET)","Round of 32",2010,"Chinese Taipei","Germany",,
"Julien Benneteau",32,"FRA","Fabio Fognini",,"ITA","64 61 46 63","Round of 32",2010,"France","Italy",,
"Daniel Brands",,"GER","Victor Hanescu",31,"ROU","677 673 767 63 30 (RET)","Round of 32",2010,"Germany","Romania",,
"Sam Querrey",18,"USA","Xavier Malisse",,"BEL","674 64 62 57 97","Round of 32",2010,"United States","Belgium",,
"Jurgen Melzer",16,"AUT","Feliciano Lopez",22,"ESP","46 63 62 64","Round of 32",2010,"Austria","Spain",,
"Lleyton Hewitt",15,"AUS","Gael Monfils",21,"FRA","63 769 64","Round of 32",2010,"Australia","France",,
"Tomas Berdych",12,"CZE","Denis Istomin",,"UZB","671 765 678 63 64","Round of 32",2010,"Czech Republic","Uzbekistan",,
"Jo-Wilfried Tsonga",10,"FRA","Tobias Kamke",,"GER","61 64 761","Round of 32",2010,"France","Germany",,"qualifier"
"David Ferrer",9,"ESP","Jeremy Chardy",,"FRA","75 63 46 36 75","Round of 32",2010,"Spain","France",,
"Robin Soderling",6,"SWE","Thomaz Bellucci",25,"BRA","64 62 75","Round of 32",2010,"Sweden","Brazil",,
"Andy Roddick",5,"USA","Philipp Kohlschreiber",29,"GER","75 675 63 63","Round of 32",2010,"United States","Germany",,
"Andy Murray",4,"GBR","Gilles Simon",26,"FRA","61 64 64","Round of 32",2010,"Great Britain","France",,
"Novak Djokovic",3,"SRB","Albert Montanes",28,"ESP","61 64 64","Round of 32",2010,"Serbia","Spain",,
"Rafael Nadal",2,"ESP","Philipp Petzschner",33,"GER","64 46 675 62 63","Round of 32",2010,"Spain","Germany",,
"Roger Federer",1,"SUI","Arnaud Clement",,"FRA","62 64 62","Round of 32",2010,"Switzerland","France",,
"Tomas Berdych",12,"CZE","Daniel Brands",,"GER","46 761 75 63","Round of 16",2010,"Czech Republic","Germany",,
"Jo-Wilfried Tsonga",10,"FRA","Julien Benneteau",32,"FRA","61 64 36 61","Round of 16",2010,"France","France",,
"Robin Soderling",6,"SWE","David Ferrer",9,"ESP","62 57 62 36 75","Round of 16",2010,"Sweden","Spain",,
"Yen-Hsun Lu",,"TPE","Andy Roddick",5,"USA","46 763 764 675 97","Round of 16",2010,"Chinese Taipei","United States",,
"Andy Murray",4,"GBR","Sam Querrey",18,"USA","75 63 64","Round of 16",2010,"Great Britain","United States",,
"Novak Djokovic",3,"SRB","Lleyton Hewitt",15,"AUS","75 64 36 64","Round of 16",2010,"Serbia","Australia",,
"Rafael Nadal",2,"ESP","Paul-Henri Mathieu",,"FRA","64 62 62","Round of 16",2010,"Spain","France",,
"Roger Federer",1,"SUI","Jurgen Melzer",16,"AUT","63 62 63","Round of 16",2010,"Switzerland","Austria",,
"Andy Murray",4,"GBR","Jo-Wilfried Tsonga",10,"FRA","675 765 62 62","Quarter-Finals",2010,"Great Britain","France",,
"Novak Djokovic",3,"SRB","Yen-Hsun Lu",,"TPE","63 62 62","Quarter-Finals",2010,"Serbia","Chinese Taipei",,
"Rafael Nadal",2,"ESP","Robin Soderling",6,"SWE","36 63 764 61","Quarter-Finals",2010,"Spain","Sweden",,
"Tomas Berdych",12,"CZE","Roger Federer",1,"SUI","64 36 61 64","Quarter-Finals",2010,"Czech Republic","Switzerland",,
"Tomas Berdych",12,"CZE","Novak Djokovic",3,"SRB","63 769 63","Semi-Finals",2010,"Czech Republic","Serbia",,
"Rafael Nadal",2,"ESP","Andy Murray",4,"GBR","64 766 64","Semi-Finals",2010,"Spain","Great Britain",,
"Rafael Nadal",2,"ESP","Tomas Berdych",12,"CZE","63 75 64","Finals",2010,"Spain","Czech Republic",,
"Kristof Vliegen",,"BEL","Nicolas Mahut",,"FRA","63 766 57 57 64","Round of 128",2009,"Belgium","France",,"wildcard"
"Martin Vassallo Arguello",,"ARG","Pablo Andujar",,"ESP","46 63 62 62","Round of 128",2009,"Argentina","Spain",,
"Janko Tipsarevic",,"SRB","Jan Hernych",,"CZE","64 64 764","Round of 128",2009,"Serbia","Czech Republic",,
"Potito Starace",,"ITA","Jose Acasuso",,"ARG","76 63 (RET)","Round of 128",2009,"Italy","Argentina",,
"Vincent Spadea",,"USA","Paul Capdeville",,"CHI","60 64 75","Round of 128",2009,"United States","Chile",,
"Dudi Sela",,"ISR","Santiago Gonzalez",,"MEX","64 46 762 63","Round of 128",2009,"Israel","Mexico",,"qualifier"
"Sam Querrey",,"USA","Danai Udomchoke",,"THA","63 64 64","Round of 128",2009,"United States","Thailand",,"lucky loser"
"Philipp Petzschner",,"GER","Rajeev Ram",,"USA","26 61 763 61","Round of 128",2009,"Germany","United States",,"qualifier"
"Ivo Minar",,"CZE","Maximo Gonzalez",,"ARG","64 36 75 60","Round of 128",2009,"Czech Republic","Argentina",,
"Leonardo Mayer",,"ARG","Oscar Hernandez",,"ESP","60 60 63","Round of 128",2009,"Argentina","Spain",,
"Paul-Henri Mathieu",,"FRA","Frederico Gil",,"POR","61 26 64 62","Round of 128",2009,"France","Portugal",,
"Michael Llodra",,"FRA","Josh Goodall",,"GBR","46 765 64 36 64","Round of 128",2009,"France","Great Britain",,"wildcard"
"Igor Kunitsyn",,"RUS","Grigor Dimitrov",,"BUL","36 60 30 (RET)","Round of 128",2009,"Russia","Bulgaria",,"wildcard"
"Stefan Koubek",,"AUT","Edouard Roger-Vasselin",,"FRA","75 63 46 36 63","Round of 128",2009,"Austria","France",,"qualifier"
"Lleyton Hewitt",,"AUS","Robby Ginepri",,"USA","64 61 61","Round of 128",2009,"Australia","United States",,
"Ernests Gulbis",,"LAT","Riccardo Ghedin",,"ITA","62 64 64","Round of 128",2009,"Latvia","Italy",,"qualifier"
"Simon Greul",,"GER","Michael Yani",,"USA","64 62 75","Round of 128",2009,"Germany","United States","qualifier","qualifier"
"Marcel Granollers",,"ESP","Andreas Beck",,"GER","62 64 674 62","Round of 128",2009,"Spain","Germany",,
"Daniel Gimeno-Traver",,"ESP","Taylor Dent",,"USA","75 766 46 673 64","Round of 128",2009,"Spain","United States",,"qualifier"
"Marc Gicquel",,"FRA","Adrian Mannarino",,"FRA","62 62 64","Round of 128",2009,"France","France",,"qualifier"
"Guillermo Garcia-Lopez",,"ESP","Agustin Calleri",,"ARG","62 63 62","Round of 128",2009,"Spain","Argentina",,
"Fabio Fognini",,"ITA","Denis Istomin",,"UZB","16 673 64 31 (RET)","Round of 128",2009,"Italy","Uzbekistan",,
"Juan Carlos Ferrero",,"ESP","Mikhail Youzhny",,"RUS","63 763 63","Round of 128",2009,"Spain","Russia","wildcard",
"Nicolas Devilder",,"FRA","Nicolas Lapentti",,"ECU","36 64 63 46 75","Round of 128",2009,"France","Ecuador",,
"Steve Darcis",,"BEL","Frank Dancevic",,"CAN","64 764 63","Round of 128",2009,"Belgium","Canada",,
"Pablo Cuevas",,"URU","Christophe Rochus",,"BEL","36 46 64 61 119","Round of 128",2009,"Uruguay","Belgium","lucky loser",
"Victor Crivoi",,"ROU","Bjorn Phau",,"GER","46 61 763 26 63","Round of 128",2009,"Romania","Germany",,
"Guillermo Canas",,"ARG","Diego Junqueira",,"ARG","61 62 62","Round of 128",2009,"Argentina","Argentina",,
"Simone Bolelli",,"ITA","Daniel Koellerer",,"AUT","673 26 75 64 64","Round of 128",2009,"Italy","Austria",,
"Benjamin Becker",,"GER","Roko Karanusic",,"CRO","64 64 61","Round of 128",2009,"Germany","Croatia",,"qualifier"
"Thiago Alves",,"BRA","Andrei Pavel",,"ROU","63 26 61 26 61","Round of 128",2009,"Brazil","Romania","lucky loser",
"Nicolas Almagro",,"ESP","Juan Monaco",,"ARG","673 677 765 64 86","Round of 128",2009,"Spain","Argentina",,
"Fabrice Santoro",,"FRA","Nicolas Kiefer",33,"GER","64 62 62","Round of 128",2009,"France","Germany",,
