"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Florian Mayer",,"GER","Fernando Verdasco",,"ESP","766 75 63","Round of 64",2005,"Germany","Spain",,
"Novak Djokovic",,"SRB","Guillermo Garcia-Lopez",,"ESP","36 36 765 763 64","Round of 64",2005,"Serbia","Spain","qualifier",
"Tomas Berdych",,"CZE","Lars Burgsmuller",,"GER","63 63 61","Round of 64",2005,"Czech Republic","Germany",,
"Igor Andreev",,"RUS","Davide Sanguinetti",,"ITA","64 62 36 63","Round of 64",2005,"Russia","Italy",,
"Max Mirnyi",,"BLR","Olivier Rochus",33,"BEL","764 62 763","Round of 64",2005,"Belarus","Belgium",,
"Mikhail Youzhny",31,"RUS","Jean-Rene Lisnard",,"MON","16 75 63 64","Round of 64",2005,"Russia","Monaco",,
"Justin Gimelstob",,"USA","Nicolas Massu",29,"CHI","63 46 765 760","Round of 64",2005,"United States","Chile","lucky loser",
"Jiri Novak",28,"CZE","Fabrice Santoro",,"FRA","61 46 764 63","Round of 64",2005,"Czech Republic","France",,
"Richard Gasquet",27,"FRA","Gilles Elseneer",,"BEL","767 763 673 62","Round of 64",2005,"France","Belgium",,"qualifier"
"Feliciano Lopez",26,"ESP","David Sherwood",,"GBR","62 64 62","Round of 64",2005,"Spain","Great Britain",,"wildcard"
"Nicolas Kiefer",25,"GER","Alessio Di Mauro",,"ITA","63 75 63","Round of 64",2005,"Germany","Italy",,
"Taylor Dent",24,"USA","Kevin Kim",,"USA","63 64 64","Round of 64",2005,"United States","United States",,
"Juan Carlos Ferrero",23,"ESP","Hyung-Taik Lee",,"KOR","64 36 46 63 63","Round of 64",2005,"Spain","South Korea",,
"Gael Monfils",,"FRA","Dominik Hrbaty",22,"SVK","63 63 26 75","Round of 64",2005,"France","Slovakia",,
"Fernando Gonzalez",21,"CHI","Tomas Zib",,"CZE","64 766 63","Round of 64",2005,"Chile","Czech Republic",,
"David Nalbandian",18,"ARG","Karol Kucera",,"SVK","62 64 63","Round of 64",2005,"Argentina","Slovakia",,
"Guillermo Coria",15,"ARG","Xavier Malisse",,"BEL","36 63 75 673 64","Round of 64",2005,"Argentina","Belgium",,
"Andy Murray",,"GBR","Radek Stepanek",14,"CZE","64 64 64","Round of 64",2005,"Great Britain","Czech Republic","wildcard",
"Thomas Johansson",12,"SWE","Andrei Pavel",,"ROU","36 764 64 764","Round of 64",2005,"Sweden","Romania",,
"Joachim Johansson",11,"SWE","Greg Rusedski",,"GBR","7610 36 64 765","Round of 64",2005,"Sweden","Great Britain",,
"Mario Ancic",10,"CRO","Danai Udomchoke",,"THA","766 36 63 63","Round of 64",2005,"Croatia","Thailand",,"qualifier"
"Sebastien Grosjean",9,"FRA","Victor Hanescu",,"ROU","63 64 62","Round of 64",2005,"France","Romania",,
"Jonas Bjorkman",,"SWE","Nikolay Davydenko",8,"RUS","674 12 (RET)","Round of 64",2005,"Sweden","Russia",,
"Dmitry Tursunov",,"RUS","Tim Henman",6,"GBR","36 62 36 63 86","Round of 64",2005,"Russia","Great Britain",,
"Marat Safin",5,"RUS","Mark Philippoussis",,"AUS","764 764 64","Round of 64",2005,"Russia","Australia",,"wildcard"
"Gilles Muller",,"LUX","Rafael Nadal",4,"ESP","64 46 63 64","Round of 64",2005,"Luxembourg","Spain",,
"Lleyton Hewitt",3,"AUS","Jan Hernych",,"CZE","62 75 36 63","Round of 64",2005,"Australia","Czech Republic",,
"Andy Roddick",2,"USA","Daniele Bracciali",,"ITA","75 63 673 46 63","Round of 64",2005,"United States","Italy",,"lucky loser"
